title,qualifies_wg,disqualification_reason,wg_needs_to_read,relevant_references,notes,author,publication,doi,year,search_venue,institution_lead_author,country_of_study,spatial_scale,time_range,bio_recs_data_analyzed,methods_development,methods_analysis,individual_sp_analysis,community_analysis,compiled_individual_sp_analysis,alien_sp_focus,distribution_change_based_on_specimen_reexamination,testing_spat_bias_correction,(testing other data quality correction),sp_richness,diversity,distribution,phenology,testing_macro_theory,order,taxon,entire_taxon_group,subset_justified,spatial_bias_addressed,spat_bias_correction_method,observer_variability_addressed,data_source,data_tp_what_where_when,data_tp_detection_non_detection,data_tp_known_effort,data_tp_semi_structured,data_tp_museum,data_tp_photo,data_tp_audio,data_tp_video,results_tp_hypothesis_testing,results_tp_prediction,results_tp_descriptive,(prediction performance meausure),(analysis method),multiple_datasets_integrated_for_analysis,(predictor variables),(summary stats),sample_size,voucher_necessary_for_analysis,volume,issue
Ecological monitoring with citizen science: the design and implementation of schemes for recording plants in Britain and Ireland,FALSE,review,FALSE,TRUE,NA,"Pescott, Oliver L.; Walker, Kevin J.; Pocock, Michael J. O.; Jitlal, Mark; Outhwaite, Charlotte L.; Cheffings, Christine M.; Harris, Felicity; Roy, David B.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12581,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Bias and information in biological records,FALSE,review,FALSE,TRUE,NA,"Isaac, Nick J. B.; Pocock, Michael J. O.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12532,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
An agenda for the future of biological recording for ecological monitoring and citizen science,FALSE,strategic research proposal; no analysis,FALSE,TRUE,NA,"Sutherland, William J.; Roy, David B.; Amano, Tatsuya",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12576,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
The Biological Records Centre: a pioneer of citizen science,FALSE,review,FALSE,NA,NA,"Pocock, Michael J. O.; Roy, Helen E.; Preston, Chris D.; Roy, David B.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12548,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Efficient occupancy model-fitting for extensive citizen-science data,TRUE,NA,NA,NA,NA,"Dennis, Emily B.; Morgan, Byron J. T.; Freeman, Stephen N.; Ridout, Martin S.; Brereton, Tom M.; Fox, Richard; Powney, Gary D.; Roy, David B.",PLOS ONE,10.1371/journal.pone.0174433,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3
Unbiased inference of plant flowering phenology from biological recording data,TRUE,NA,TRUE,NA,NA,"Chapman, Daniel S.; Bell, Sandra; Helfer, Stephan; Roy, David B.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12515,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
"Air pollution and its effects on lichens, bryophytes, and lichen-feeding Lepidoptera: review and evidence from biological records",TRUE,NA,TRUE,NA,NA,"Pescott, Oliver L.; Simkin, Janet M.; August, Tom A.; Randle, Zoe; Dore, Anthony J.; Botham, Marc S.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12541,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Crowdsourcing Without a Crowd: Reliable Online Species Identification Using Bayesian Models to Minimize Crowd Size,TRUE,NA,TRUE,TRUE,NA,"Siddharthan, Advaith; Lambin, Christopher; Robinson, Anne-Marie; Sharma, Nirwan; Comont, Richard; O'Mahony, Elaine; Mellish, Chris; Van der Wal, Rene",ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,10.1145/2776896,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4
The contribution of volunteer recorders to our understanding of biological invasions,TRUE,NA,NA,NA,NA,"Roy, Helen E.; Rorke, Steph L.; Beckmann, Bjoern; Booy, Olaf; Botham, Marc S.; Brown, Peter M. J.; Harrower, Colin; Noble, David; Sewell, Jack; Walker, Kevin",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12518,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Mapping species distributions: A comparison of skilled naturalist and lay citizen science recording,TRUE,NA,NA,NA,NA,"van der Wal, Rene; Anderson, Helen; Robinson, Annie; Sharma, Nirwan; Mellish, Chris; Roberts, Stuart; Darvill, Ben; Siddharthan, Advaith",AMBIO,10.1007/s13280-015-0709-x,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA
