author,title,year,articleURL,doi
"PMG UU, RB OU, KR OU",Delivering effective enterprise education–the role of learning design and technology,2014,http://www.academia.edu/download/32831053/KESS_delivering_effective_enterprise_education_-_McGowan_Blundel_Reid_-_FINAL_23_Jan_2014.pdf,NA
"M Moezzi, KB Janda, S Rotmann",Energy Research & Social Science,2017,http://www.ieadsm.org/wp/files/Narratives-and-Storytelling-in-Energy-and-Climate-Change-Research.pdf,NA
"VC Rodrigues, FF do Carmo, LN Perillo",Natureza & Conservação,2015,https://pdfs.semanticscholar.org/807a/264ee224b31278c43f87dfa9e7822a69bc0e.pdf,NA
M Gambill,2016_02_09_Doktorarbeit,2015,https://d-nb.info/1084213125/34,NA
"AA Acohido, M Paredes",26 Internships,2017,http://www.gemini.edu/images/pio/newsletters/pdf/gf_0417.pdf,NA
"A Oxbrough, S Irwin, TC Kelly, J O'Halloran",accordance with the Green Access standard for this journal,2010,https://repository.edgehill.ac.uk/6909/1/EHRA_Version_Oxbrough_Resubmission.pdf,NA
"B Bealey, C Howard","Air pollution, climate and ecosystems",2015,https://www.researchgate.net/profile/Clare_Howard4/publication/277571637_Air_pollution_climate_and_ecosystems_Closing_the_loop_between_research_policy_and_public_awareness/links/556d89f408aeccd7773c11b1.pdf,NA
DRL MÁTYÁS,Állatkerti kutatások kommunikációja,2015,https://www.researchgate.net/profile/Matyas_Liptovszky/publication/279765997_Allatkerti_kutatasok_kommunikacioja/links/559a75a308ae5d8f3936ead7.pdf,NA
Z Soh,An Evaluation of Community-based Monitoring of Biodiversity in Greater London,2015,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.709.4054&rep=rep1&type=pdf,NA
M Gaywood,An introduction to the Species Action Framework,2016,https://www.researchgate.net/profile/Martin_Gaywood/publication/322473739_An_introduction_to_the_Species_Action_Framework/links/5a5a2c300f7e9b5fb3888bf6/An-introduction-to-the-Species-Action-Framework.pdf,NA
"CD Coertjens, I Loots",A (phased) plan for action: how structurered multi-actor dialogues on human biomonitoring results can facilitate targeted policy action,2017,https://www.hbm4eu.eu/wp-content/uploads/2017/03/HBM4EU_AD5.1_generic-canvas_v1.1.pdf,NA
SEAFI AUTHORITY,"A Pilot Study to Define the Footprint and Activities of Scottish Inshore Fisheries by Identifying Target Fisheries, Habitats and Associated Fish Stocks Fox, CJ …",2015,https://pure.uhi.ac.uk/portal/files/1962540/Publications2015_3.pdf,NA
"SR Arnold, KS Law, CA Brock, JL Thomas…",Arctic air pollution: Challenges and,2016,https://tuhat.helsinki.fi/portal/services/downloadRegister/68528545/journal.elementa.000104_1.pdf,NA
"D Liggett, D Müller, A Pashkevich",Arctic Tourism Should be used as a Vehicle for Arctic Observing Systems,2016,http://www.arcticobservingsummit.org/sites/arcticobservingsummit.org/files/Hillmer-Pegram%20et%20al_REVISEDRC-Tourism%20%20AOS%20short%20statement_AOS%20%202016_REVISED-FORMATTED.pdf,NA
