Google Scholar search results through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
"Publish or Perish search terms: all of the words: “biological records” Ireland; none of the words: book ""new report"" ""new species"" ""new record""; years: 2014 to 2018",,,,,,,,,,,,,,,,,,,,,,
8 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
35,"GD Powney, NJB Isaac",Beyond maps: a review of the applications of biological records,2015,Biological Journal of the Linnean …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/bij.12517/full,"https://scholar.google.com/scholar?cites=1658442830888625958&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,2018-06-08,,,,,,,,,35,11.67,18,2,3
59,"MJO Pocock, HE Roy, CD Preston…",The Biological Records Centre: a pioneer of citizen science,2015,Biological Journal of the …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/475/2440508,"https://scholar.google.com/scholar?cites=16160593164797254402&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,2018-06-08,,,,,,,,,59,19.67,15,4,3
68,"NJB Isaac, MJO Pocock",Bias and information in biological records,2015,Biological Journal of the Linnean …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/522/2440472,"https://scholar.google.com/scholar?cites=8585638861058543690&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,2018-06-08,,,,,,,,,68,22.67,34,2,3
8,"HE Roy, CD Preston, DB Roy",Fifty years of the biological records Centre,2015,Biological Journal of the Linnean …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/469/2440525,"https://scholar.google.com/scholar?cites=4176326490284390691&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,2018-06-08,,,,,,,,,8,2.67,3,3,3
5,"GA Collins, HE Roy",Provisional atlas of the aculeate Hymenoptera of Britain and Ireland,2016,,Biological Records Centre,,"https://scholar.google.com/scholar?cites=3392544406775146760&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,2018-06-08,CITATION,,,,,,,,5,2.5,3,2,2
2,"S Cham, B Nelson, A Parr, S Prentice, D Smallshire…",Atlas of Dragonflies in Britain and Ireland. the Field Studies Council for the Biological Records Centre,2014,Centre for Ecology & …,,,"https://scholar.google.com/scholar?cites=16366911817862935759&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,2018-06-08,CITATION,,,,,,,,2,0.5,0,6,4
14,"WJ Sutherland, DB Roy…",An agenda for the future of biological recording for ecological monitoring and citizen science,2015,Biological Journal of the …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/bij.12576/full,"https://scholar.google.com/scholar?cites=16246512927052382432&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2018-06-08,,,,,,,,,14,4.67,5,3,3
7,"GD Powney, SSA Cham, D Smallshire, NJB Isaac",Trait correlates of distribution trends in the Odonata of Britain and Ireland,2015,PeerJ,peerj.com,https://peerj.com/articles/1410/?td=tw,"https://scholar.google.com/scholar?cites=7159729657504957485&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,2018-06-08,HTML,,,,,,,,7,2.33,2,4,3
10,"H Jacquemyn, R Brys, MJ Hutchings",Biological flora of the British Isles: Epipactis palustris,2014,Journal of Ecology,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12287/full,"https://scholar.google.com/scholar?cites=10756540058501969226&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,2018-06-08,HTML,,,,,,,,10,2.5,3,3,4
71,"R Fox, TH Oliver, C Harrower…",Long‐term changes to the frequency of occurrence of British moths are consistent with opposing and synergistic effects of climate and land‐use changes,2014,Journal of Applied …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12256/full,"https://scholar.google.com/scholar?cites=533642183634515647&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2018-06-08,HTML,,,,,,,,71,17.75,18,4,4
