Google Scholar search results through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
PoP search terms – all of the words: “biological records” “United Kingdom”; none of the words: book “new report” “new species” “new record’,,,,,,,,,,,,,,,,,,,,,,
12 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
59,"MJO Pocock, HE Roy, CD Preston…",The Biological Records Centre: a pioneer of citizen science,2015,Biological Journal of the …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/475/2440508,"https://scholar.google.com/scholar?cites=16160593164797254402&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,2018-06-12,,,,,,,,,59,19.67,15,4,3
68,"NJB Isaac, MJO Pocock",Bias and information in biological records,2015,Biological Journal of the Linnean …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/522/2440472,"https://scholar.google.com/scholar?cites=8585638861058543690&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,2018-06-12,,,,,,,,,68,22.67,34,2,3
17,"BV Purse, N Golding",Tracking the distribution and impacts of diseases with biological records and distribution modelling,2015,Biological Journal of the Linnean Society,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/664/2440518,"https://scholar.google.com/scholar?cites=8446657722570817985&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,2018-06-12,,,,,,,,,17,5.67,9,2,3
25,"J Pagel, BJ Anderson, RB O'Hara…",Quantifying range‐wide variation in population trends from local abundance surveys and widespread opportunistic occurrence records,2014,Methods in Ecology …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12221/full,"https://scholar.google.com/scholar?cites=1809620399062100630&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,2018-06-12,HTML,,,,,,,,25,6.25,6,4,4
22,"T Amano, JDL Lamming, WJ Sutherland",Spatial gaps in global biodiversity information and the role of citizen science,2016,Bioscience,academic.oup.com,https://academic.oup.com/bioscience/article-abstract/66/5/393/2468614,"https://scholar.google.com/scholar?cites=8069779197138054342&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,2018-06-12,,,,,,,,,22,11,7,3,2
62,"CI Fraser, A Terauds, J Smellie…",Geothermal activity helps life survive glacial cycles,2014,Proceedings of the …,National Acad Sciences,http://www.pnas.org/content/111/15/5634.short,"https://scholar.google.com/scholar?cites=8991081106624646172&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,2018-06-12,,,,,,,,,62,15.5,16,4,4
5,"KJ Walker, OL Pescott, F Harris, C Cheffings…",Making plants count,2015,British …,researchgate.net,https://www.researchgate.net/profile/Oliver_Pescott/publication/282179925_Making_plants_count/links/57f4bafc08ae91deaa5c1b01/Making-plants-count.pdf,"https://scholar.google.com/scholar?cites=691959101566694728&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2018-06-12,PDF,,,,,,,,5,1.67,1,5,3
9,"JW Arntzen, JW Wilkinson, R Butôt…","A new vertebrate species native to the British Isles: Bufo spinosus Daudin, 1803 in Jersey",2014,The Herpetological …,ingentaconnect.com,http://www.ingentaconnect.com/contentone/bhs/thj/2014/00000024/00000004/art00002,"https://scholar.google.com/scholar?cites=10400665227109880825&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,2018-06-12,,,,,,,,,9,2.25,2,4,4
11,"H Flores-Moreno, ES García-Treviño, AD Letten…",In the beginning: phenotypic change in three invasive species through their first two centuries since introduction,2015,Biological …,Springer,https://link.springer.com/article/10.1007/s10530-014-0789-8,"https://scholar.google.com/scholar?cites=15058627918827513514&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,2018-06-12,HTML,,,,,,,,11,3.67,3,4,3
2,"QJ Groom, JL Durkin, J O'Reilly, A Mclay…","A benchmark survey of the common plants of South Northumberland and Durham, United Kingdom",2015,Biodiversity data …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699291/,"https://scholar.google.com/scholar?cites=2134623473460707792&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2018-06-12,HTML,,,,,,,,2,0.67,0,5,3
7,"BC Beckmann, BV Purse, DB Roy, HE Roy, PG Sutton…",Two species with an unusual combination of traits dominate responses of British grasshoppers and crickets to environmental change,2015,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130488,"https://scholar.google.com/scholar?cites=13156324270638566340&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,2018-06-12,HTML,,,,,,,,7,2.33,1,6,3
8,"JM Medlock, KM Hansford, AGC Vaux…",Distribution of the tick Dermacentor reticulatus in the United Kingdom,2017,Medical and …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/mve.12235/full,"https://scholar.google.com/scholar?cites=5771551809818451772&as_sdt=2005&sciodt=0,5&hl=en&num=20",12,2018-06-12,,,,,,,,,8,8,2,4,1
114,"JM Medlock, SA Leach",Effect of climate change on vector-borne disease risk in the UK,2015,The Lancet Infectious Diseases,Elsevier,https://www.sciencedirect.com/science/article/pii/S1473309915700915,"https://scholar.google.com/scholar?cites=10563587133353769921&as_sdt=2005&sciodt=0,5&hl=en&num=20",13,2018-06-12,HTML,,,,,,,,114,38,57,2,3
10,J Warren,Is wind-mediated passive leaf movement an effective form of herbivore defence?,2015,Plant Ecology and Evolution,ingentaconnect.com,http://www.ingentaconnect.com/content/botbel/plecevo/2015/00000148/00000001/art00006,"https://scholar.google.com/scholar?cites=2113760999311629702&as_sdt=2005&sciodt=0,5&hl=en&num=20",14,2018-06-12,,,,,,,,,10,3.33,10,1,3
