Google Scholar search results through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
"Publish or Perish search term: all of the words: “citizen science” species Ireland; none of the words: disease book ""new report"" ""new species"" ""new record""; years: 2014 to 2018",,,,,,,,,,,,,,,,,,,,,,
8 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
59,"MJO Pocock, HE Roy, CD Preston…",The Biological Records Centre: a pioneer of citizen science,2015,Biological Journal of the …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/475/2440508,"https://scholar.google.com/scholar?cites=16160593164797254402&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,2018-06-08,,,,,,,,,59,19.67,15,4,3
46,"R Follett, V Strezov",An analysis of citizen science based research: usage and publication patterns,2015,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143687,"https://scholar.google.com/scholar?cites=2845012866471100603&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,2018-06-08,HTML,,,,,,,,46,15.33,23,2,3
13,"Q Groom, L Weatherdon…",Is citizen science an open science in the case of biodiversity observations?,2017,Journal of Applied …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12767/full,"https://scholar.google.com/scholar?cites=12334475875163119452&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,2018-06-08,HTML,,,,,,,,13,13,4,3,1
27,"K Hyder, B Townhill, LG Anderson, J Delany…",Can citizen science contribute to the evidence-base that underpins marine policy?,2015,Marine Policy,Elsevier,https://www.sciencedirect.com/science/article/pii/S0308597X15001049,"https://scholar.google.com/scholar?cites=12972435806648464480&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,2018-06-08,HTML,,,,,,,,27,9,5,5,3
43,"N Mieszkowska, H Sugden…",The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems,2014,Phil. Trans. R …,rsta.royalsocietypublishing.org,http://rsta.royalsocietypublishing.org/content/372/2025/20130339.short,"https://scholar.google.com/scholar?cites=14075754207688171168&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,2018-06-08,HTML,,,,,,,,43,10.75,14,3,4
19,"J Kamp, S Oppel, H Heldbjerg…",Unstructured citizen science data fail to detect long‐term population declines of common birds in Denmark,2016,Diversity and …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/ddi.12463/full,"https://scholar.google.com/scholar?cites=14138228617691027953&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,2018-06-08,,,,,,,,,19,9.5,5,4,2
15,"SE Newson, HE Evans, S Gillings","A novel citizen science approach for large-scale standardised monitoring of bat activity and distribution, evaluated in eastern England",2015,Biological Conservation,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320715002323,"https://scholar.google.com/scholar?cites=18081333770572424223&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2018-06-08,HTML,,,,,,,,15,5,5,3,3
45,"DS Schmeller, R Julliard, PJ Bellingham…",Towards a global terrestrial species monitoring program,2015,Journal for Nature …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1617138115000278,"https://scholar.google.com/scholar?cites=9733380965762187758&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,2018-06-08,HTML,,,,,,,,45,15,11,4,3
16,"L Mair, A Ruete",Explaining spatial variation in the recording effort of citizen science data across multiple taxa,2016,PLoS One,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147796,"https://scholar.google.com/scholar?cites=16530214849954808473&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,2018-06-08,HTML,,,,,,,,16,8,8,2,2
13,"EH Boakes, G Gliozzo, V Seymour, M Harvey…",Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour,2016,Scientific reports,nature.com,https://www.nature.com/articles/srep33051,"https://scholar.google.com/scholar?cites=6784850573323946944&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2018-06-08,HTML,,,,,,,,13,6.5,3,5,2
