Google Scholar search results done through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
"Publish or Perish search terms: all of the words: “citizen science” species “United Kingdom”; none of the words: disease book ""new report"" ""new species"" ""new record""; years: 2014 to 2018",,,,,,,,,,,,,,,,,,,,,,
8 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
113,"J Biggs, N Ewald, A Valentini, C Gaboriaud…",Using eDNA to develop a national citizen science-based monitoring programme for the great crested newt (Triturus cristatus),2015,Biological …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320714004546,"https://scholar.google.com/scholar?cites=13537046522415540471&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,2018-06-08,HTML,,,,,,,,113,37.67,23,5,3
161,"EJ Theobald, AK Ettinger, HK Burgess, LB DeBey…",Global change and local solutions: Tapping the unrealized potential of citizen science for biodiversity research,2015,Biological …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320714004029,"https://scholar.google.com/scholar?cites=79931553442484969&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,2018-06-08,HTML,,,,,,,,161,53.67,32,5,3
59,"R Simpson, KR Page, D De Roure",Zooniverse: observing the world's largest citizen science platform,2014,Proceedings of the 23rd …,dl.acm.org,https://dl.acm.org/citation.cfm?id=2579215,"https://scholar.google.com/scholar?cites=3433128368044532207&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,2018-06-08,,,,,,,,,59,14.75,20,3,4
59,"MJO Pocock, HE Roy, CD Preston…",The Biological Records Centre: a pioneer of citizen science,2015,Biological Journal of the …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/475/2440508,"https://scholar.google.com/scholar?cites=16160593164797254402&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,2018-06-08,,,,,,,,,59,19.67,15,4,3
147,"JM Jeschke, S Bacher, TM Blackburn…",Defining the impact of non‐native species,2014,Conservation …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12299/full,"https://scholar.google.com/scholar?cites=17719487583214492461&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,2018-06-08,HTML,,,,,,,,147,36.75,37,4,4
46,"R Follett, V Strezov",An analysis of citizen science based research: usage and publication patterns,2015,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143687,"https://scholar.google.com/scholar?cites=2845012866471100603&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,2018-06-08,HTML,,,,,,,,46,15.33,23,2,3
86,"H Ojaveer, BS Galil, D Minchin, S Olenin, A Amorim…",Ten recommendations for advancing the assessment and management of non-indigenous species in marine ecosystems,2014,Marine Policy,Elsevier,https://www.sciencedirect.com/science/article/pii/S0308597X13001735,"https://scholar.google.com/scholar?cites=790781944554950264&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,2018-06-08,HTML,,,,,,,,86,21.5,14,6,4
22,"T Amano, JDL Lamming, WJ Sutherland",Spatial gaps in global biodiversity information and the role of citizen science,2016,Bioscience,academic.oup.com,https://academic.oup.com/bioscience/article-abstract/66/5/393/2468614,"https://scholar.google.com/scholar?cites=8069779197138054342&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,2018-06-08,,,,,,,,,22,11,7,3,2
77,"LM Bland, BEN Collen, CDL Orme…",Predicting the conservation status of data‐deficient species,2015,Conservation …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12372/full,"https://scholar.google.com/scholar?cites=13811109057396241414&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,2018-06-08,,,,,,,,,77,25.67,19,4,3
20,"SR Loss, SS Loss, T Will, PP Marra",Linking place-based citizen science with large-scale conservation research: a case study of bird-building collisions and the role of professional scientists,2015,Biological Conservation,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320715000932,"https://scholar.google.com/scholar?cites=16457847530298063017&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,2018-06-08,HTML,,,,,,,,20,6.67,5,4,3
16,"J Starr, CM Schweik, N Bush, L Fletcher, J Finn, J Fish…","Lights, camera… citizen science: assessing the effectiveness of smartphone-based video training in invasive plant identification",2014,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111433,"https://scholar.google.com/scholar?cites=5599884825264158906&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,2018-06-08,HTML,,,,,,,,16,4,2,7,4
