ProQuest search,,,,,
"noft(""biological record*"" OR ""citizen science"" OR (atlas AND species) OR GBIF OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset)",,,,,
15 June 2018,,,,,
,,,,,
Title,Authors,DocumentURL,URL,PublicationDate,Database
This bird has flown; Ornithological trends,Anonymous,https://search.proquest.com/docview/1476859969?accountid=14507,,"Jan 11, 2014",ABI/INFORM Global
Citizen science puts dots on Ireland's wildlife map,"Viney, Michael",https://search.proquest.com/docview/1503164090?accountid=14507,,"Mar 1, 2014",European Newsstream
Projected Range Contractions of European Protected Oceanic Montane Plant Communities: Focus on Climate Change Impacts Is Essential for Their Future Conservation,"Hodd, Rory L;Bourke, David;Micheline Sheehy Skeffington",https://search.proquest.com/docview/1518097317?accountid=14507,,Apr 2014,SciTech Premium Collection
Evolutionary trick that has other birds working for the cuckoo,"Viney, Michael",https://search.proquest.com/docview/1515094628?accountid=14507,,"Apr 12, 2014",European Newsstream
Can coarse-grain patterns in insect atlas data predict local occupancy?,"Barwell, Louise J;Azaele, Sandro;Kunin, William E;Isaac, Nick JB",https://search.proquest.com/docview/1547853013?accountid=14507,,August 2014,SciTech Premium Collection
Using opportunistic photo-identifications to detect a population decline of killer whales (Orcinus orca) in British and Irish waters,"Beck, Suzanne;Foote, Andrew D;Kötter, Sandra;Harries, Olivia;Mandleberg, Laura;Stevick, Peter T;Whooley, Pádraig;Durban, John W",https://search.proquest.com/docview/1552475229?accountid=14507,,Sep 2014,SciTech Premium Collection
Can trait-based analyses of changes in species distribution be transferred to new geographic areas?,"Powney, Gary D;Preston, Christopher D;Purvis, Andy;Van Landuyt, Wouter;Roy, David B",https://search.proquest.com/docview/1560104518?accountid=14507,,September 2014,SciTech Premium Collection
Forest trust looks for volunteers,,https://search.proquest.com/docview/1562929242?accountid=14507,,"Sep 19, 2014",European Newsstream
The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems.,"Mieszkowska, N;Sugden, H;Firth, L B;Hawkins, S J",https://search.proquest.com/docview/1566107904?accountid=14507,,"September 28, 2014",SciTech Premium Collection
The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems,"Mieszkowska, N;Sugden, H;Firth, L B;Hawkins, S J",https://search.proquest.com/docview/1808636277?accountid=14507,,"September 28, 2014",SciTech Premium Collection
new visitor On the trail of a,,https://search.proquest.com/docview/1610291977?accountid=14507,,"Oct 11, 2014",European Newsstream
