Title,Authors,DocumentURL,URL,PublicationDate,Database
Generating population estimates for common and widespread breeding birds in Ireland,"Crowe, Olivia;Musgrove, Andy J;O'Halloran, John",https://search.proquest.com/docview/1686720896?accountid=14507,,"Jan 2, 2014",SciTech Premium Collection
Brazilian Microbiome Project: Revealing the Unexplored Microbial Diversity--Challenges and Prospects,"Pylro, Victor Satler;Roesch, Luiz Fernando; Wurdig;Ortega, José Miguel;Do Amaral, Alexandre Morais;Tótola, Marcos Rogério;Hirsch, Penny Ruth;Rosado, Alexandre Soares;Góes-neto, Aristóteles;Da Costa Da Silva, Artur Luiz;Rosa, Carlos Augusto;Morais, Daniel Kumazawa;Andreote, Fernando Dini;Duarte, Gabriela Frois;de Melo, Itamar Soares;Seldin, Lucy;Lambais, Márcio Rodrigues;Hungria, Mariangela;Peixoto, Raquel Silva;Kruger, Ricardo Henrique;Tsai, Siu Mui;Azevedo, Vasco",https://search.proquest.com/docview/1498894020?accountid=14507,,Feb 2014,SciTech Premium Collection
Bird Atlas makes for great reading [Edition 3],"Hurley, Jim",https://search.proquest.com/docview/1502580125?accountid=14507,,"Feb 25, 2014",European Newsstream
Citizen science puts dots on Ireland's wildlife map,"Viney, Michael",https://search.proquest.com/docview/1736396407?accountid=14507,,"Mar 1, 2014",ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
"The impact of climatic change on butterfly geography: does climatic change produce coincident trends in populations, distributions and ranges?","Hardy, Peter B;Sparks, Tim H;Dennis, Roger L; H",https://search.proquest.com/docview/1504714999?accountid=14507,,Apr 2014,SciTech Premium Collection
"The impact of climatic change on butterfly geography: does climatic change produce coincident trends in populations, distributions and ranges?","Hardy, Peter B;Sparks, Tim H;Dennis, Roger LH",https://search.proquest.com/docview/1508758770?accountid=14507,,April 2014,SciTech Premium Collection
Secretarybird Sagittarius serpentarius Population Trends and Ecology: Insights from South African Citizen Science Data,"Hofmeyr, Sally D;Symes, Craig T;Underhill, Leslie G",https://search.proquest.com/docview/1522948329?accountid=14507,,May 2014,SciTech Premium Collection
Scientist saddles up to see the best of Ireland's wildlife,"Siggins, Lorna",https://search.proquest.com/docview/1527756950?accountid=14507,,"May 24, 2014",European Newsstream
Scientist saddles up to see the best of Ireland's wildlife,"Siggins, Lorna",https://search.proquest.com/docview/1736418180?accountid=14507,,"May 24, 2014",ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
Can coarse-grain patterns in insect atlas data predict local occupancy?,"Barwell, Louise J;Azaele, Sandro;Kunin, William E;Isaac, Nick J B",https://search.proquest.com/docview/1543613136?accountid=14507,,Aug 2014,SciTech Premium Collection
The role of citizen science in monitoring biodiversity in Ireland,"Donnelly, Alison;Crowe, Olivia;Regan, Eugenie;Begley, Sinead;Caffarra, Amelia",https://search.proquest.com/docview/1555013414?accountid=14507,,August 2014,SciTech Premium Collection
The role of citizen science in monitoring biodiversity in Ireland,"Donnelly, Alison;Crowe, Olivia;Regan, Eugenie;Begley, Sinead;Caffarra, Amelia",https://search.proquest.com/docview/1663588098?accountid=14507,,Aug 2014,SciTech Premium Collection
Can coarse-grain patterns in insect atlas data predict local occupancy?,"Barwell, Louise J;Azaele, Sandro;Kunin, William E;Isaac, Nick J B;Richardson, David",https://search.proquest.com/docview/1999932248?accountid=14507,,Aug 2014,SciTech Premium Collection
The Invisible Prevalence of Citizen Science in Global Research: Migratory Birds and Climate Change,"Cooper, Caren B;Shirk, Jennifer;Zuckerberg, Benjamin",https://search.proquest.com/docview/1559783648?accountid=14507,,Sep 2014,SciTech Premium Collection
Shelducks and waders in decline,,https://search.proquest.com/docview/1561491078?accountid=14507,,"Sep 1, 2014",European Newsstream
"Anatomy of Colymbosaurus megadeirus (Reptilia, Plesiosauria) from the Kimmeridge Clay Formation of the U.K., and High Diversity Among Late Jurassic Plesiosauroids","Benson, Roger BJ;Bowdler, Timothy",https://search.proquest.com/docview/1808372274?accountid=14507,,September 2014,SciTech Premium Collection
"Large-scale Spatial Patterns in Species Richness of Orthoptera in the Greater London Area, United Kingdom: Relationships with Land Cover","Cherrill, Andrew",https://search.proquest.com/docview/1735923471?accountid=14507, http://www.tandfonline.com/doi/abs/10.1080/01426397.2014.902922,"January 1, 2015",SciTech Premium Collection
Mollusks on Brazilian postage stamps,"Salvador, Rodrigo B;Ribeiro, Guilherme;Cavallari, Daniel C",https://search.proquest.com/docview/1768580950?accountid=14507,,January 2015,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, KE;Briggs, P A;Haysom, KA;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, AL;Langton, S D",https://search.proquest.com/docview/1673379737?accountid=14507,,20150200,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, KE;Briggs, P A;Haysom, KA;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, AL;Langton, S D",https://search.proquest.com/docview/1677976547?accountid=14507,,20150200,SciTech Premium Collection
Citizen science reveals trends in bat populations: The National Bat Monitoring Programme in Great Britain,"Barlow, K E;Briggs, P A;Haysom, K A;Hutson, A M;Lechiara, N L;Racey, P A;Walsh, A L;Langton, S D",https://search.proquest.com/docview/1836649599?accountid=14507,,Feb 2015,SciTech Premium Collection
Trait-based analysis of decline in plant species ranges during the 20th century: a regional comparison between the UK and Estonia.,"Laanisto, Lauri;Sammul, Marek;Kull, Tiiu;Macek, Petr;Hutchings, Michael J",https://search.proquest.com/docview/1826615997?accountid=14507,,"February 2, 2015",SciTech Premium Collection
