Title,Authors,DocumentURL,PublicationDate,Database
Generating population estimates for common and widespread breeding birds in Ireland,"Crowe, Olivia;Musgrove, Andy J;O'Halloran, John",https://search.proquest.com/docview/1504816239?accountid=14507,Feb 2014,SciTech Premium Collection
Generating population estimates for common and widespread breeding birds in Ireland,"Crowe, Olivia;Musgrove, Andy J;O'Halloran, John",https://search.proquest.com/docview/1512329331?accountid=14507,February 2014,SciTech Premium Collection
Locating species range frontiers: a cost and efficiency comparison of citizen science and hair-tube survey methods for use in tracking an invasive squirrel,"Goldstein, Emily A;Lawton, Colin;Sheehy, Emma;Butler, Fidelma",https://search.proquest.com/docview/1647012672?accountid=14507,May 2014,SciTech Premium Collection
Citizen science survey to help our hedgehogs,"Hamilton, Jessica",https://search.proquest.com/docview/1522546405?accountid=14507,"May 9, 2014",European Newsstream
"An atlas of the world's conifers: an analysis of their distribution, biogeography, diversity and conservation status","Clemons, J",https://search.proquest.com/docview/1535066805?accountid=14507,Jun 2014,Social Science Premium Collection
"Zygoribatula connexa Berlese, 1904 (Acari, Oribatida): a new Irish record with comments on its biology and the genus status in Ireland","Arroyo, Julio;O'Gara, Nula;Bolger, Thomas",https://search.proquest.com/docview/1627970128?accountid=14507,20140616,SciTech Premium Collection
Citizen science,,https://search.proquest.com/docview/1547775578?accountid=14507,"Jul 24, 2014",European Newsstream
The role of citizen science in monitoring biodiversity in Ireland.,"Donnelly, Alison;Crowe, Olivia;Regan, Eugenie;Begley, Sinead;Caffarra, Amelia",https://search.proquest.com/docview/1544738702?accountid=14507,August 2014,SciTech Premium Collection
Researchers hope 'citizen science' will turn up information on elusive Irish stoat,"DESTRADE, MICHEL",https://search.proquest.com/docview/1736427015?accountid=14507,"Aug 19, 2014",ProQuest Historical Newspapers: The Irish Times and The Weekly Irish Times
"Evidence for contrasting causes of population change in two closely related, sympatric breeding species the Whinchat Saxicola rubetra and Stonechat Saxicola torquata in Britain","Henderson, Ian;Calladine, John;Massimino, Dario;Taylor, Jennifer A;Gillings, Simon",https://search.proquest.com/docview/1686720933?accountid=14507,"Oct 2, 2014",SciTech Premium Collection
What can we learn from 'nature's greatest feat'? [Edition 3],,https://search.proquest.com/docview/1609246132?accountid=14507,"Oct 9, 2014",European Newsstream
Bird trust recognised for monumental research project,"Warner, Tim",https://search.proquest.com/docview/1617716114?accountid=14507,"Oct 29, 2014",European Newsstream
"Evidence for contrasting causes of population change in two closely related, sympatric breeding species the Whinchat Saxkola rubetra and Stonechat Saxkola torquata in Britain","Henderson, Ian;Calladine, John;Massimino, Dario;Taylor, Jennifer A;Gillings, Simon",https://search.proquest.com/docview/1638508314?accountid=14507,Nov 2014,SciTech Premium Collection
Georeferenced Atlas and Catalog of Libyan Reptiles,"Taylor, Dylan James",https://search.proquest.com/docview/1694582824?accountid=14507,2015,ProQuest Dissertations & Theses A&I
The bee lab kit: activities engaging motivated lay users in the use of open technologies for citizen science activities,"Phillips, Robert",https://search.proquest.com/docview/1780276019?accountid=14507,2015,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I"
Smartphone-powered citizen science for bioacoustic monitoring,"Zilli, Davide",https://search.proquest.com/docview/1780279315?accountid=14507,2015,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I"
"Online citizen science projects: an exploration of motivation, contribution and participation","Curtis, Vickie",https://search.proquest.com/docview/1784059475?accountid=14507,2015,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I"
Rapid multi-nation distribution assessment of a charismatic conservation species using open access ensemble model GIS predictions: Red panda (Ailurus fulgens) in the Hindu-Kush Himalaya region,"Kandel, Kamal;Huettmann, Falk;Suwal, Madan Krishna;Ganga Ram Regmi;Nijman, Vincent;K.A.I. Nekaris;Sonam Tashi Lama;Thapa, Arjun;Hari Prasad Sharma;Tulsi Ram Subedi",https://search.proquest.com/docview/1836666258?accountid=14507,Jan 2015,SciTech Premium Collection
The impact of changing habitat availability on population trends of woodland birds associated with early successional plantation woodland,"Burgess, Malcolm D;Bellamy, Paul E;Gillings, Simon;Noble, David G;Grice, Philip V;Conway, Greg J",https://search.proquest.com/docview/1686720355?accountid=14507,"Jan 2, 2015",SciTech Premium Collection
Fish mislabelling in France: substitution rates and retail types,"Bénard-Capelle, Julien;Guillonneau, Victoire;Nouvian, Claire;Fournier, Nicolas;Karine Le Loët;Dettai, Agnès",https://search.proquest.com/docview/1957139486?accountid=14507,"Jan 6, 2015",SciTech Premium Collection
Do hedgehogs not like northwest Mayo? Help us answer this and other prickly questions,"Ahlstrom, Dick",https://search.proquest.com/docview/1654470454?accountid=14507,"Feb 12, 2015",European Newsstream
Western Europe Telecommunications Insight - March 2015,,https://search.proquest.com/docview/1652122722?accountid=14507,Mar 2015,SciTech Premium Collection
House sparrows top pecking order,"Amos, Ilona",https://search.proquest.com/docview/1666635251?accountid=14507,"Mar 26, 2015",European Newsstream
State urged to bring in beaver to save wild salmon,"Siggins, Lorna",https://search.proquest.com/docview/1669983228?accountid=14507,"Apr 7, 2015",European Newsstream
