title,author,documentURL,database,year,search_venue
This bird has flown; Ornithological trends,Anonymous,https://search.proquest.com/docview/1476859969?accountid=14507,ABI/INFORM Global,2014,ProQuest
Projected Range Contractions of European Protected Oceanic Montane Plant Communities: Focus on Climate Change Impacts Is Essential for Their Future Conservation,"Hodd, Rory L;Bourke, David;Micheline Sheehy Skeffington",https://search.proquest.com/docview/1518097317?accountid=14507,SciTech Premium Collection,2014,ProQuest
Evolutionary trick that has other birds working for the cuckoo,"Viney, Michael",https://search.proquest.com/docview/1515094628?accountid=14507,European Newsstream,2014,ProQuest
Using opportunistic photo-identifications to detect a population decline of killer whales (Orcinus orca) in British and Irish waters,"Beck, Suzanne;Foote, Andrew D;Kötter, Sandra;Harries, Olivia;Mandleberg, Laura;Stevick, Peter T;Whooley, Pádraig;Durban, John W",https://search.proquest.com/docview/1552475229?accountid=14507,SciTech Premium Collection,2014,ProQuest
Forest trust looks for volunteers,NA,https://search.proquest.com/docview/1562929242?accountid=14507,European Newsstream,2014,ProQuest
The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems.,"Mieszkowska, N;Sugden, H;Firth, L B;Hawkins, S J",https://search.proquest.com/docview/1566107904?accountid=14507,SciTech Premium Collection,2014,ProQuest
The role of sustained observations in tracking impacts of environmental change on marine biodiversity and ecosystems,"Mieszkowska, N;Sugden, H;Firth, L B;Hawkins, S J",https://search.proquest.com/docview/1808636277?accountid=14507,SciTech Premium Collection,2014,ProQuest
new visitor On the trail of a,NA,https://search.proquest.com/docview/1610291977?accountid=14507,European Newsstream,2014,ProQuest
Reflections on the long-term assessment of ladybird (Coleoptera: Coccinellidae) populations in the Czech Republic and the United Kingdom,"Brown, Peter M J;Roy, Helen E",https://search.proquest.com/docview/1758245920?accountid=14507,SciTech Premium Collection,2015,ProQuest
Extrapolating insect biodiversity across spatial scales,"Barwell, Louise Joanne",https://search.proquest.com/docview/1837038050?accountid=14507,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I",2015,ProQuest
A bio-inspired computational model for motion detection,"Silva, Ana Carolina Quintela Alves Vilares da",https://search.proquest.com/docview/1901480305?accountid=14507,ProQuest Dissertations & Theses A&I,2015,ProQuest
Diatom response to mid-Holocene climate in three small Arctic lakes in northernmost Finnmark,"Roberts, Sarah;Jones, Viv J;Allen, Judy RM;Huntley, Brian",https://search.proquest.com/docview/1685181667?accountid=14507,SciTech Premium Collection,2015,ProQuest
Developing and enhancing biodiversity monitoring programmes: a collaborative assessment of priorities.,"Pocock, Michael J O;Newson, Stuart E;Henderson, Ian G;Peyton, Jodey;Sutherland, William J;Noble, David G;Ball, Stuart G;Beckmann, Björn C;Biggs, Jeremy;Brereton, Tom;Bullock, David J;Buckland, Stephen T;Edwards, Mike;Eaton, Mark A;Harvey, Martin C;Hill, Mark O;Horlock, Martin;Hubble, David S;Julian, Angela M;Mackey, Edward C;Mann, Darren J;Marshall, Matthew J;Medlock, Jolyon M;O'Mahony, Elaine M;Pacheco, Marina;Porter, Keith;Prentice, Steve;Procter, Deborah A;Roy, Helen E;Southway, Sue E;Shortall, Chris R;Stewart, Alan J A;Wembridge, David E;Wright, Mark A;Roy, David B",https://search.proquest.com/docview/1859721020?accountid=14507,SciTech Premium Collection,2015,ProQuest
Chance to home a hedgehog with new urban wildlife project launch,"Hogg, Ed",https://search.proquest.com/docview/1686001785?accountid=14507,European Newsstream,2015,ProQuest
