PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Konstantinou, Kika; Dunn, Kate M.; Ogollah, Reuben; Lewis, Martyn; van der Windt, Danielle; Hay, Elaine M.		ATLAS Study Team						Prognosis of sciatica and back-related leg pain in primary care: the ATLAS cohort								SPINE JOURNAL				18	6			1030	1040		10.1016/j.spinee.2017.10.071			JUN 2018	2018										0							WOS:000433264700016		
J	Bright, Jonathan; De Sabbata, Stefano; Lee, Sumin								Geodemographic biases in crowdsourced knowledge websites: Do neighbours fill in the blanks?								GEOJOURNAL				83	3			427	440		10.1007/s10708-017-9778-7			JUN 2018	2018										1							WOS:000432324400002		
J	Gilbert, Edmund; O'Reilly, Seamus; Merrigan, Michael; McGettigan, Darren; Molloy, Anne M.; Brody, Lawrence C.; Bodmer, Walter; Hutnik, Katarzyna; Ennis, Sean; Lawson, Daniel J.; Wilson, James F.; Cavalleri, Gianpiero L.								The Irish DNA Atlas: Revealing Fine-Scale Population Structure and History within Ireland (vol 7, 17199, 2017)								SCIENTIFIC REPORTS				8						7208	10.1038/s41598-018-24846-6			MAY 3 2018	2018										0							WOS:000431294300002		
J	O'Brien, Aileen; Whiteside, David I.; Marshall, John E. A.								Anatomical study of two previously undescribed specimens of Clevosaurus hudsoni (Lepidosauria: Rhynchocephalia) from Cromhall Quarry, UK, aided by computed tomography, yields additional information on the skeleton and hitherto undescribed bones								ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				183	1			163	195					MAY 2018	2018										0							WOS:000432303500007		
J	Ockendon, Nancy; Thomas, David H. L.; Cortina, Jordi; Adams, William M.; Aykroyd, Toby; Barov, Boris; Boitani, Luigi; Bonn, Aletta; Branquinho, Cristina; Brombacher, Michael; Burrell, Charles; Carver, Steve; Crick, Humphrey Q. P.; Duguy, Beatriz; Everett, Sue; Fokkens, Bart; Fuller, Robert J.; Gibbons, David W.; Gokhelashvili, Ramaz; Griffin, Cy; Halley, Duncan J.; Hotham, Paul; Hughes, Francine M. R.; Karamanlidis, Alexandros A.; McOwen, Chris J.; Miles, Lera; Mitchell, Roger; Rands, Michael R. W.; Roberts, Jeremy; Sandom, Christopher J.; Spencer, Jonathan W.; ten Broeke, Erica; Tew, Eleanor R.; Thomas, Chris D.; Timoshyna, Anastasiya; Unsworth, Richard K. F.; Warrington, Stuart; Sutherland, William J.								One hundred priority questions for landscape restoration in Europe								BIOLOGICAL CONSERVATION				221				198	208		10.1016/j.biocon.2018.03.002			MAY 2018	2018										0							WOS:000431837800022		
J	Furlanetto, C.; Dye, S.; Bourne, N.; Maddox, S.; Dunne, L.; Eales, S.; Valiante, E.; Smith, M. W.; Smith, D. J. B.; Ivison, R. J.; Ibar, E.								The second Herschel-ATLAS Data Release - III. Optical and near-infrared counterparts in the North Galactic Plane field								MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY				476	1			961	978		10.1093/mnras/sty151			MAY 2018	2018										1							WOS:000429276700076		
J	Wilson, John Fawcett; Baker, David; Cheney, Janet; Cook, Mike; Ellis, Martin; Freestone, Roger; Gardner, David; Geen, Graham; Hemming, Robin; Hodgers, Don; Howarth, Stephen; Jupp, Ade; Lowe, Norman; Orridge, Steve; Shaw, Mark; Smith, Bob; Turner, Audrey; Young, Heather								A role for artificial night-time lighting in long-term changes in populations of 100 widespread macro-moths in UK and Ireland: a citizen-science study								JOURNAL OF INSECT CONSERVATION				22	2			189	196		10.1007/s10841-018-0052-1			APR 2018	2018										1							WOS:000433233900003		
J	Andrew, Carrie; Heegaard, Einar; Gange, Alan C.; Senn-Irlet, Beatrice; Egli, Simon; Kirk, Paul M.; Buntgen, Ulf; Kauserud, Havard; Boddy, Lynne								Congruency in fungal phenology patterns across dataset sources and scales								FUNGAL ECOLOGY				32				9	17		10.1016/j.funeco.2017.11.009			APR 2018	2018										1							WOS:000427333300002		
J	McKeown, Adam								Walled Borders and the Geography of Power in Henrician Prose								ENGLISH LITERARY RENAISSANCE				48	2			121	135					SPR 2018	2018										0							WOS:000432793600001		
J	Martay, B.; Pearce-Higgins, J. W.								Using data from schools to model variation in soil invertebrates across the UK: The importance of weather, climate, season and habitat								PEDOBIOLOGIA				67				1	9		10.1016/j.pedobi.2018.01.002			MAR 2018	2018										0							WOS:000432584800001		
J	Mac Aodha, Oisin; Gibb, Rory; Barlow, Kate E.; Browning, Ella; Firman, Michael; Freeman, Robin; Harder, Briana; Kinsey, Libby; Mead, Gary R.; Newson, Stuart E.; Pandourski, Ivan; Parsons, Stuart; Russ, Jon; Szodoray-Paradi, Abigel; Szodoray-Paradi, Farkas; Tilova, Elena; Girolami, Mark; Brostow, Gabriel; Jones, Kate E.								Bat detective-Deep learning tools for bat acoustic signal detection								PLOS COMPUTATIONAL BIOLOGY				14	3					e1005995	10.1371/journal.pcbi.1005995			MAR 2018	2018										0							WOS:000428885200020		
J	Paris, J. R.; Sherman, K. D.; Bell, E.; Boulenger, C.; Delord, C.; El-Mahdi, M. B. M.; Fairfield, E. A.; Griffiths, A. M.; Roberts, C. Gutmann; Hedger, R. D.; Holman, L. E.; Hooper, L. H.; Humphries, N. E.; Katsiadaki, I.; King, R. A.; Lemopoulos, A.; Payne, C. J.; Peirson, G.; Richter, K. K.; Taylor, M. I.; Trueman, C. N.; Hayden, B.; Stevens, J. R.								Understanding and managing fish populations: keeping the toolbox fit for purpose								JOURNAL OF FISH BIOLOGY				92	3			727	751		10.1111/jfb.13549			MAR 2018	2018						50th Anniversary Annual Symposium of the Fisheries-Society-of-the-British-Isles (FSBI) - Understanding Fish Populations	JUL 03-07, 2017	Fisheries Soc British Isles	Univ Exeter, Exeter, ENGLAND	1							WOS:000427477600012		
J	Harding-Esch, E. M.; Cousins, E. C.; Chow, S-L C.; Phillips, L. T.; Hall, C. L.; Cooper, N.; Fuller, S. S.; Nori, A., V; Patel, R.; Thomas-William, S.; Whitlock, G.; Edwards, S. J. E.; Green, M.; Clarkson, J.; Arlett, B.; Dunbar, J. K.; Lowndes, C. M.; Sadiq, S. T.								A 30-Min Nucleic Acid Amplification Point-of-Care Test for Genital Chlamydia trachomatis Infection in Women: A Prospective, Multi-center Study of Diagnostic Accuracy								EBIOMEDICINE				28				120	127		10.1016/j.ebiom.2017.12.029			FEB 2018	2018										1							WOS:000425875600023		
J	Pipek, Pavel; Petruskova, Tereza; Petrusek, Adam; Diblikova, Lucie; Eaton, Mark A.; Pysek, Petr								Dialects of an invasive songbird are preserved in its invaded but not native source range								ECOGRAPHY				41	2			245	254		10.1111/ecog.02779			FEB 2018	2018										2							WOS:000423807400001		
J	Goulson, D.; O'Connor, S.; Park, K. J.								Causes of colony mortality in bumblebees								ANIMAL CONSERVATION				21	1			45	53		10.1111/acv.12363			FEB 2018	2018										0							WOS:000423513400010		
