link,inclusion_order,title,qualifies,authors,publication,doi,year,reason for disqualification
https://search.proquest.com/docview/2049732920?accountid=14507,1,A Democratization of Approaches: Integrating Citizen Science Into the Museum Visitor Experience,FALSE,"Mutascio, Holly E.",NA,NA,2018,not bio recs data
https://digitalcommons.csbsju.edu/compass/vol89/iss2/1/,2,"SIGMA GAMMA EPSILON STUDENT RESEARCH POSTER SESSION, GEOLOGICAL SOCIETY OF AMERICA MEETING 2017, SEATTLE, WASHINGTON, USA",FALSE,NA,NA,NA,2018,wrong geographic area
https://search.proquest.com/docview/2002427411?accountid=14507,3,The sensitivity of breeding songbirds to changes in seasonal timing is linked to population change but cannot be directly attributed to the effects of trophic asynchrony on productivity,TRUE,"Franks, SE; Pearce-Higgins, JW; Atkinson, S; Bell, JR; Botham, MS; Brereton, TM; Harrington, R; Leech, DI",NA,NA,2018,NA
https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12951,4,Seasonal associations with novel climates for North American migratory bird populations,FALSE,NA,NA,NA,2018,wrong geographic area
https://www.biorxiv.org/content/early/2018/02/21/266692.abstract,5,Social licence through citizen science: A tool for marine conservation,FALSE,NA,NA,NA,2018,not bio recs data
https://search.proquest.com/docview/2009677915?accountid=14507,6,Plants and animals may be doomed by the Beast from the East,FALSE,NA,NA,NA,2018,not original research – news reporting
https://link.springer.com/article/10.1007/s10531-017-1479-5,7,Essential biodiversity variables are not global,TRUE,NA,NA,NA,2018,NA
http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190740,8,Data collection and storage in long-term ecological and evolutionary studies: The Mongoose 2000 system,FALSE,NA,NA,NA,2018,not bio recs data
https://books.google.com/books?hl=en&lr=&id=93BGDwAAQBAJ&oi=fnd&pg=PA210&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=ihJQDxRkZs&sig=ywQfONa4zZaMWtOwaAmIrRGCDng,9,The role of innovative data collection methods in advancing criminological understanding,FALSE,NA,NA,NA,2018,text not available; not bio recs data
https://search.proquest.com/docview/2042952591?accountid=14507,10,Development of the Kazakhstan Y-chromosome haplotype reference database: analysis of 27 Y-STR in Kazakh population,FALSE,"Zhabagin, M; Sarkytbayeva, A; Tazhigulova, I; Yerezhepov, D; Li, S; Akilzhanov, R; Alibek Yeralinov; Sabitov, Z; Akilzhanova, A",NA,NA,2018,not bio recs data
https://search.proquest.com/docview/2002183624?accountid=14507,11,Endemism and conservation of Amazon palms,FALSE,"Alvez-Valles, Carlos Mariano; Balslev, H; Fabrício Alvim Carvalho; Garcia-Villacorta, R; Grandez, C; Luiz Menini Neto",NA,NA,2018,wrong geographic area
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2201-7,12,Recommending plant taxa for supporting on-site species identification,FALSE,NA,NA,NA,2018,wrong geograhpic area
