Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Vahidi, H., Klinkenberg, B., Yan, W.",Trust as a proxy indicator for intrinsic quality of Volunteered Geographic Information in biodiversity monitoring programs,2018,GIScience and Remote Sensing,10.1080/15481603.2017.1413794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038104251&doi=10.1080%2f15481603.2017.1413794&partnerID=40&md5=32137cd60afa0b181463fdbd32c004a7,Scopus
"Spezia, L., Friel, N., Gimona, A.",Spatial hidden Markov models and species distributions,2018,Journal of Applied Statistics,10.1080/02664763.2017.1386771,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031781964&doi=10.1080%2f02664763.2017.1386771&partnerID=40&md5=8f502f674eda65cbfba5f9b2915fe003,Scopus
"McKercher, G.R., Vanos, J.K.","Low-cost mobile air pollution monitoring in urban environments: a pilot study in Lubbock, Texas",2018,Environmental Technology (United Kingdom),10.1080/09593330.2017.1332106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020193439&doi=10.1080%2f09593330.2017.1332106&partnerID=40&md5=3b592c5f2a014a2fb77c9989ceb5d792,Scopus
"Hart, A.G., Hesselberg, T., Nesbit, R., Goodenough, A.E.",The spatial distribution and environmental triggers of ant mating flights: using citizen-science data to reveal national patterns,2018,Ecography,10.1111/ecog.03140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030456712&doi=10.1111%2fecog.03140&partnerID=40&md5=77f06550c18b9822d7961ff92a43f479,Scopus
"Brodschneider, R., Gray, A., Adjlane, N., Ballis, A., Brusbardis, V., Charrière, J.-D., Chlebo, R., Coffey, M.F., Dahle, B., de Graaf, D.C., Maja Dražić, M., Evans, G., Fedoriak, M., Forsythe, I., Gregorc, A., Grzęda, U., Hetzroni, A., Kauko, L., Kristiansen, P., Martikkala, M., Martín-Hernández, R., Aurelio Medina-Flores, C., Mutinelli, F., Raudmets, A., A Ryzhikov, V., Simon-Delso, N., Stevanovic, J., Uzunov, A., Vejsnæs, F., Wöhl, S., Zammit-Mangion, M., Danihlík, J.","Multi-country loss rates of honey bee colonies during winter 2016/2017 from the COLOSS survey [Tasas de pérdida de colonias de abejas melíferas en varios países durante el invierno 2016/17, según el estudio de COLOSS]",2018,Journal of Apicultural Research,10.1080/00218839.2018.1460911,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046766595&doi=10.1080%2f00218839.2018.1460911&partnerID=40&md5=c5796d029e78684535d60aff7961e599,Scopus
"Dehnen-Schmutz, K., Conroy, J.",Working with gardeners to identify potential invasive ornamental garden plants: testing a citizen science approach,2018,Biological Invasions,10.1007/s10530-018-1759-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046708707&doi=10.1007%2fs10530-018-1759-3&partnerID=40&md5=827e3652e4bfb5b9dd341806998e7e6b,Scopus
"O'Brien, A., Whiteside, D.I., Marshall, J.E.A.","Anatomical study of two previously undescribed specimens of Clevosaurus hudsoni (Lepidosauria: Rhynchocephalia) from Cromhall Quarry, UK, aided by computed tomography, yields additional information on the skeleton and hitherto undescribed bones",2018,Zoological Journal of the Linnean Society,10.1093/zoolinnean/zlx087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047015160&doi=10.1093%2fzoolinnean%2fzlx087&partnerID=40&md5=193b623c2d19876aa5f56240a60175d1,Scopus
"Kunin, W.E., Harte, J., He, F., Hui, C., Jobe, R.T., Ostling, A., Polce, C., Šizling, A., Smith, A.B., Smith, K., Smart, S.M., Storch, D., Tjørve, E., Ugland, K.-I., Ulrich, W., Varma, V.",Upscaling biodiversity: estimating the species–area relationship from small samples,2018,Ecological Monographs,10.1002/ecm.1284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040781887&doi=10.1002%2fecm.1284&partnerID=40&md5=347888ff53790f1a39928c02cae17ccf,Scopus
"Diner, D., Nakayama, S., Nov, O., Porfiri, M.",Social signals as design interventions for enhancing citizen science contributions*,2018,Information Communication and Society,10.1080/1369118X.2017.1299779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015694171&doi=10.1080%2f1369118X.2017.1299779&partnerID=40&md5=88a5de0683a5193144fb4117f90c2273,Scopus
"Wilson, J.F., Baker, D., Cheney, J., Cook, M., Ellis, M., Freestone, R., Gardner, D., Geen, G., Hemming, R., Hodgers, D., Howarth, S., Jupp, A., Lowe, N., Orridge, S., Shaw, M., Smith, B., Turner, A., Young, H.",A role for artificial night-time lighting in long-term changes in populations of 100 widespread macro-moths in UK and Ireland: a citizen-science study,2018,Journal of Insect Conservation,10.1007/s10841-018-0052-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045056948&doi=10.1007%2fs10841-018-0052-1&partnerID=40&md5=5173c71df4164829d9018143c5c3adfc,Scopus
